employee_id,department,tenure_months,salary,satisfaction_score,attrition,absenteeism_days,anomaly_flag,attrition_probability
1,Engineering,14,9437.43,2.26,False,1,False,0.1033
2,Finance,79,8702.84,3.48,False,2,False,0.0082
3,Finance,116,10089.64,4.08,False,3,False,0.0022
4,HR,105,7154.85,3.58,False,0,False,0.0058
5,HR,33,5609.96,3.13,False,3,False,0.0208
6,Operations,55,6338.85,2.31,False,2,False,0.0741
7,Engineering,64,10482.16,3.59,False,4,False,0.0075
8,Finance,30,6814.35,2.75,False,2,False,0.0411
9,Sales,33,7188.41,2.71,False,2,False,0.0432
10,Engineering,29,9745.18,3.58,False,2,False,0.0096
11,HR,120,7719.92,4.28,False,2,False,0.0015
12,Operations,90,7389.32,4.22,False,3,False,0.002
13,Finance,101,9570.82,4.24,False,0,False,0.0018
14,Finance,98,8928.12,3.45,False,3,False,0.0077
15,Finance,116,10363.29,3.92,True,4,True,0.8264
16,Finance,13,5848.17,3.09,False,3,False,0.0254
17,HR,106,7014.8,3.45,False,4,False,0.0073
18,Engineering,8,6950.08,2.84,False,1,False,0.0405
19,Operations,58,6012.37,3.42,False,2,False,0.0105
20,HR,72,7209.21,3.17,False,2,False,0.015
21,HR,43,6318.06,2.57,False,4,False,0.0515
22,Sales,18,6078.75,2.55,False,5,False,0.0624
23,Engineering,24,7742.24,3.26,False,1,False,0.0175
24,Operations,99,5926.3,3.26,False,2,False,0.0107
25,Finance,39,7227.71,3.16,False,7,False,0.0189
26,Finance,38,8987.06,3.47,False,2,False,0.011
27,HR,111,7566.91,3.28,False,1,False,0.0095
28,Operations,18,5647.82,3.1,False,2,False,0.0241
29,HR,110,7562.96,3.65,False,1,False,0.005
30,HR,111,6399.34,2.75,False,1,False,0.0244
31,HR,72,6345.39,3.84,False,1,False,0.0045
32,Sales,20,6551.73,2.56,False,3,False,0.0606
33,Engineering,19,8573.87,2.15,False,1,False,0.1196
34,HR,35,6091.62,2.35,False,6,False,0.0785
35,Operations,70,7300.04,2.68,False,8,False,0.0359
36,Engineering,19,9094.92,3.05,False,3,False,0.0262
37,Operations,55,6388.12,2.88,False,1,False,0.0279
38,Operations,14,6238.92,2.58,False,4,False,0.0608
39,Sales,65,8618.65,3.58,False,2,False,0.0076
40,Finance,3,6070.47,2.84,False,3,False,0.0418
41,Engineering,86,10094.96,3.69,False,3,False,0.0054
42,Finance,7,7404.45,3.01,False,3,False,0.0303
43,Finance,24,7040.55,3.19,False,2,False,0.0198
44,Sales,21,7257.79,1.83,False,8,False,0.1925
45,Engineering,100,10932.1,3.51,False,2,False,0.0068
46,Operations,7,6319.31,1.62,True,4,False,0.2763
47,HR,52,6147.32,3.0,True,1,False,0.0231
48,Operations,71,7274.32,3.19,False,2,False,0.0146
