employee_id,snapshot_date,department,satisfaction_score,absenteeism_days,attrition_flag,anomaly_flag
1,2024-05-01,Engineering,2.28,5,False,False
2,2024-05-01,Finance,3.55,2,False,False
3,2024-05-01,Finance,4.02,5,False,False
4,2024-05-01,HR,3.49,3,False,False
5,2024-05-01,HR,2.93,3,False,False
6,2024-05-01,Operations,2.41,2,False,False
7,2024-05-01,Engineering,3.59,2,False,False
8,2024-05-01,Finance,2.77,2,False,False
9,2024-05-01,Sales,2.63,6,False,False
10,2024-05-01,Engineering,3.7,3,False,False
11,2024-05-01,HR,4.37,0,False,False
12,2024-05-01,Operations,4.21,3,False,False
13,2024-05-01,Finance,4.18,3,False,False
14,2024-05-01,Finance,3.41,3,False,False
15,2024-05-01,Finance,3.84,1,False,False
16,2024-05-01,Finance,3.09,3,False,False
17,2024-05-01,HR,3.39,2,False,False
18,2024-05-01,Engineering,2.9,6,False,False
19,2024-05-01,Operations,3.38,2,False,False
20,2024-05-01,HR,3.13,3,False,False
21,2024-05-01,HR,2.72,6,False,False
22,2024-05-01,Sales,2.48,3,False,False
23,2024-05-01,Engineering,3.1,4,False,False
24,2024-05-01,Operations,3.3,3,False,False
25,2024-05-01,Finance,2.95,4,False,False
26,2024-05-01,Finance,3.5,2,False,False
27,2024-05-01,HR,3.38,0,False,False
28,2024-05-01,Operations,3.11,4,False,False
29,2024-05-01,HR,3.65,6,False,False
30,2024-05-01,HR,2.54,5,False,False
31,2024-05-01,HR,3.9,0,False,False
32,2024-05-01,Sales,2.6,2,False,False
33,2024-05-01,Engineering,2.03,5,False,False
34,2024-05-01,HR,2.54,4,False,False
35,2024-05-01,Operations,2.56,3,False,False
36,2024-05-01,Engineering,2.88,2,False,False
37,2024-05-01,Operations,2.7,4,False,False
38,2024-05-01,Operations,2.58,5,False,False
39,2024-05-01,Sales,3.61,1,False,False
40,2024-05-01,Finance,2.88,4,False,False
41,2024-05-01,Engineering,3.66,1,False,False
42,2024-05-01,Finance,2.93,4,False,False
43,2024-05-01,Finance,3.27,4,False,False
44,2024-05-01,Sales,1.74,5,False,False
45,2024-05-01,Engineering,3.39,2,False,False
46,2024-05-01,Operations,1.76,4,False,False
47,2024-05-01,HR,3.02,2,False,False
48,2024-05-01,Operations,3.24,4,False,False
49,2024-05-01,Finance,3.89,1,False,False
50,2024-05-01,Finance,3.9,2,False,False
51,2024-05-01,Finance,3.51,6,False,False
52,2024-05-01,Engineering,3.03,2,False,False
53,2024-05-01,Sales,3.69,2,False,False
54,2024-05-01,HR,2.57,1,False,False
55,2024-05-01,HR,3.53,6,False,False
56,2024-05-01,Engineering,3.7,1,False,False
57,2024-05-01,HR,3.15,3,False,False
58,2024-05-01,Engineering,3.86,3,False,False
59,2024-05-01,Finance,3.82,2,False,False
60,2024-05-01,Finance,2.99,3,False,False
61,2024-05-01,Operations,3.71,2,False,False
62,2024-05-01,Finance,2.99,3,False,False
63,2024-05-01,Sales,3.14,4,False,False
64,2024-05-01,Operations,2.38,5,False,False
65,2024-05-01,HR,3.0,2,False,False
66,2024-05-01,Sales,2.72,4,False,False
67,2024-05-01,Operations,3.09,3,False,False
68,2024-05-01,Sales,2.45,5,False,False
69,2024-05-01,Engineering,3.89,0,False,False
70,2024-05-01,HR,2.72,5,False,False
71,2024-05-01,Finance,3.46,0,False,False
72,2024-05-01,Engineering,3.34,5,False,False
73,2024-05-01,HR,4.21,1,False,False
74,2024-05-01,Engineering,2.18,11,False,False
75,2024-05-01,Finance,3.56,1,False,False
76,2024-05-01,HR,2.93,2,False,False
77,2024-05-01,Sales,3.62,2,False,False
78,2024-05-01,Sales,3.25,2,False,False
79,2024-05-01,HR,3.32,4,False,False
80,2024-05-01,Finance,2.67,3,False,False
81,2024-05-01,Operations,3.68,0,False,False
82,2024-05-01,HR,3.14,1,False,False
83,2024-05-01,Engineering,3.49,0,False,False
84,2024-05-01,Operations,2.27,5,False,False
85,2024-05-01,Finance,3.11,5,False,False
86,2024-05-01,Finance,3.08,3,False,False
87,2024-05-01,Engineering,3.94,1,False,False
88,2024-05-01,Sales,3.39,2,False,False
89,2024-05-01,Finance,3.24,2,False,False
90,2024-05-01,Operations,3.3,2,False,False
91,2024-05-01,HR,2.93,0,False,False
92,2024-05-01,Operations,3.32,5,False,False
93,2024-05-01,Operations,1.82,7,False,False
94,2024-05-01,Sales,3.08,0,False,False
95,2024-05-01,Operations,3.01,4,False,False
96,2024-05-01,Sales,4.13,3,False,False
97,2024-05-01,Sales,4.7,0,False,False
98,2024-05-01,Finance,2.94,3,False,False
99,2024-05-01,Finance,4.02,1,False,False
100,2024-05-01,Engineering,3.55,4,False,False
101,2024-05-01,Operations,3.04,4,False,False
102,2024-05-01,Engineering,3.76,3,False,False
103,2024-05-01,Operations,3.42,2,False,False
104,2024-05-01,Engineering,3.16,0,False,False
105,2024-05-01,Finance,3.41,1,False,False
106,2024-05-01,Finance,2.41,3,False,False
107,2024-05-01,Finance,2.33,3,False,False
108,2024-05-01,Finance,3.51,4,False,False
109,2024-05-01,HR,3.42,5,False,False
110,2024-05-01,Finance,3.37,0,False,False
111,2024-05-01,Sales,3.53,2,False,False
112,2024-05-01,Finance,3.61,3,False,False
113,2024-05-01,HR,3.13,3,False,False
114,2024-05-01,HR,2.55,6,False,False
115,2024-05-01,HR,3.81,2,False,False
116,2024-05-01,HR,3.88,3,False,False
117,2024-05-01,Engineering,3.47,0,False,False
118,2024-05-01,Engineering,3.48,2,False,False
119,2024-05-01,Sales,3.09,0,False,False
120,2024-05-01,Engineering,3.48,3,False,False
121,2024-05-01,HR,3.25,4,False,False
122,2024-05-01,Finance,3.4,3,False,False
123,2024-05-01,Finance,2.97,5,False,False
124,2024-05-01,HR,2.3,4,False,False
125,2024-05-01,Operations,3.56,3,False,False
126,2024-05-01,HR,2.05,2,True,False
127,2024-05-01,Engineering,2.91,2,False,False
128,2024-05-01,Finance,3.4,6,False,False
129,2024-05-01,HR,3.52,3,False,False
130,2024-05-01,Finance,3.68,0,False,False
131,2024-05-01,HR,3.19,6,False,False
132,2024-05-01,HR,2.43,3,False,False
133,2024-05-01,Engineering,3.18,2,False,False
134,2024-05-01,HR,2.95,4,False,False
135,2024-05-01,Finance,2.92,5,False,False
136,2024-05-01,Sales,3.8,2,False,False
137,2024-05-01,Finance,2.82,2,False,False
138,2024-05-01,Engineering,3.35,2,False,False
139,2024-05-01,Sales,3.02,2,False,False
140,2024-05-01,HR,3.73,1,False,False
141,2024-05-01,Operations,3.27,2,False,False
142,2024-05-01,Sales,3.12,6,False,False
143,2024-05-01,Sales,3.21,3,False,False
144,2024-05-01,HR,3.04,1,False,False
145,2024-05-01,Operations,3.37,2,False,False
146,2024-05-01,Operations,3.7,4,False,False
147,2024-05-01,Engineering,3.39,4,False,False
148,2024-05-01,Sales,2.88,1,False,False
149,2024-05-01,Operations,2.31,7,False,False
150,2024-05-01,Engineering,3.36,1,False,False
151,2024-05-01,Operations,2.95,1,False,False
152,2024-05-01,Sales,2.92,4,False,False
153,2024-05-01,Operations,3.5,4,False,False
154,2024-05-01,Sales,3.4,3,False,False
155,2024-05-01,HR,3.67,1,False,False
156,2024-05-01,Finance,3.38,3,False,False
157,2024-05-01,Engineering,3.59,3,False,False
158,2024-05-01,HR,3.32,4,False,False
159,2024-05-01,HR,2.51,4,False,False
160,2024-05-01,Finance,4.06,1,False,False
161,2024-05-01,Operations,1.62,5,False,False
162,2024-05-01,Finance,2.44,3,False,False
163,2024-05-01,HR,2.22,4,False,False
164,2024-05-01,HR,2.84,3,False,False
165,2024-05-01,HR,3.55,3,False,False
166,2024-05-01,Operations,3.63,2,False,False
167,2024-05-01,Sales,2.92,4,False,False
168,2024-05-01,Engineering,4.16,0,False,False
169,2024-05-01,Sales,4.04,1,False,False
170,2024-05-01,Engineering,2.92,4,False,False
171,2024-05-01,Engineering,4.24,2,False,False
172,2024-05-01,Engineering,3.8,3,False,False
173,2024-05-01,Finance,2.81,4,False,False
174,2024-05-01,Finance,3.39,3,False,False
175,2024-05-01,Finance,3.52,2,False,False
176,2024-05-01,HR,3.1,2,False,False
177,2024-05-01,Finance,4.1,0,False,False
178,2024-05-01,Engineering,1.81,5,True,False
179,2024-05-01,Operations,2.37,4,False,False
180,2024-05-01,HR,2.83,7,False,False
181,2024-05-01,Operations,3.1,1,False,False
182,2024-05-01,Engineering,2.78,3,False,False
183,2024-05-01,HR,2.77,6,False,False
184,2024-05-01,Finance,3.22,1,False,False
185,2024-05-01,HR,2.26,3,False,False
186,2024-05-01,HR,4.52,0,False,False
187,2024-05-01,Engineering,4.28,1,False,False
188,2024-05-01,Sales,3.09,4,False,False
189,2024-05-01,Sales,2.66,4,False,False
190,2024-05-01,Sales,2.82,2,False,False
191,2024-05-01,Finance,2.92,4,False,False
192,2024-05-01,Finance,3.56,4,False,False
193,2024-05-01,Finance,3.11,4,False,False
194,2024-05-01,Sales,3.58,4,False,False
195,2024-05-01,Operations,1.98,5,False,False
196,2024-05-01,Engineering,2.93,4,False,False
197,2024-05-01,Sales,3.31,5,False,False
198,2024-05-01,Engineering,3.68,4,False,False
199,2024-05-01,Sales,2.76,0,False,False
200,2024-05-01,Operations,2.02,3,False,False
201,2024-05-01,Sales,3.63,3,False,False
202,2024-05-01,Operations,3.04,2,False,False
203,2024-05-01,HR,2.81,1,False,False
204,2024-05-01,Finance,2.8,2,False,False
205,2024-05-01,HR,2.05,7,False,False
206,2024-05-01,Sales,3.17,5,False,False
207,2024-05-01,Finance,3.03,3,False,False
208,2024-05-01,Operations,3.35,6,False,False
209,2024-05-01,Sales,3.03,4,False,False
210,2024-05-01,Finance,3.9,2,False,False
211,2024-05-01,Sales,3.95,2,False,False
212,2024-05-01,Finance,3.14,2,False,False
213,2024-05-01,Finance,3.68,3,False,False
214,2024-05-01,HR,4.24,2,False,False
215,2024-05-01,Finance,4.43,0,False,False
216,2024-05-01,Sales,2.75,4,False,False
217,2024-05-01,Engineering,2.75,4,False,False
218,2024-05-01,Engineering,4.06,2,False,False
219,2024-05-01,HR,2.18,3,False,False
220,2024-05-01,Operations,2.7,3,False,False
221,2024-05-01,Engineering,2.71,2,False,False
222,2024-05-01,HR,3.8,1,False,False
223,2024-05-01,Finance,3.28,2,False,False
224,2024-05-01,Sales,2.63,4,False,False
225,2024-05-01,Finance,3.19,4,False,False
226,2024-05-01,Sales,2.4,4,False,False
227,2024-05-01,Operations,3.12,2,False,False
228,2024-05-01,HR,3.64,3,False,False
229,2024-05-01,HR,3.23,5,False,False
230,2024-05-01,Engineering,4.09,4,False,False
231,2024-05-01,HR,3.11,3,False,False
232,2024-05-01,Operations,2.84,2,False,False
233,2024-05-01,Engineering,3.52,4,False,False
234,2024-05-01,Finance,2.1,6,False,False
235,2024-05-01,HR,1.99,3,False,False
