date,sla_compliance_pct,ticket_volume,avg_resolution_hours,system_uptime_pct,efficiency_score,anomaly_flag
2024-05-12,92.84,67,6.52,99.951,90.21,False
2024-05-13,96.66,165,2.56,99.82,96.65,False
2024-05-14,97.04,160,4.86,99.974,93.98,False
2024-05-15,93.88,134,2.7,100.0,95.43,False
2024-05-16,94.05,145,4.0,99.877,93.83,False
2024-05-17,95.92,155,3.29,100.0,95.51,False
2024-05-18,91.51,59,5.46,99.948,91.01,False
2024-05-19,92.21,61,2.7,99.954,94.74,False
2024-05-20,94.58,163,1.61,99.718,96.97,False
2024-05-21,97.32,160,1.77,99.984,97.96,False
2024-05-22,94.35,161,2.71,99.873,95.56,False
2024-05-23,95.15,149,1.89,99.778,96.87,False
2024-05-24,96.7,136,4.33,99.745,94.42,False
2024-05-25,98.16,56,2.8,100.0,97.02,False
2024-05-26,94.13,59,11.57,99.847,84.39,False
2024-05-27,94.97,134,1.48,99.609,97.25,False
2024-05-28,97.73,139,3.91,99.76,95.37,False
2024-05-29,92.72,148,2.01,99.89,95.79,False
2024-05-30,96.54,157,2.76,100.0,96.42,False
2024-05-31,93.47,163,3.79,100.0,93.9,False
2024-06-01,95.15,57,1.1,100.0,97.93,False
2024-06-02,94.64,64,3.97,99.771,94.06,False
2024-06-03,93.56,138,9.14,99.968,87.24,False
2024-06-04,93.53,161,2.81,99.725,95.05,False
2024-06-05,95.41,157,4.02,99.776,94.31,False
2024-06-06,96.49,148,5.89,99.716,92.38,False
2024-06-07,94.81,135,3.25,99.662,94.99,False
2024-06-08,95.11,64,2.64,100.0,95.99,False
2024-06-09,95.86,61,1.13,100.0,98.18,False
2024-06-10,93.54,155,4.86,100.0,92.59,False
2024-06-11,96.11,152,3.34,99.908,95.49,False
2024-06-12,96.23,139,2.13,100.0,97.08,False
2024-06-13,98.91,165,3.76,99.548,95.95,False
2024-06-14,94.44,125,2.64,100.0,95.73,False
2024-06-15,94.31,55,2.71,99.935,95.56,False
2024-06-16,96.15,61,4.78,100.0,93.74,False
2024-06-17,96.23,156,1.81,99.976,97.47,False
2024-06-18,94.2,162,5.96,99.703,91.38,False
2024-06-19,94.4,158,1.75,99.6,96.67,False
2024-06-20,95.81,136,2.53,99.758,96.32,False
2024-06-21,93.76,135,9.23,100.0,87.21,False
2024-06-22,94.38,59,6.2,100.0,91.25,False
2024-06-23,95.13,55,3.71,99.626,94.54,False
2024-06-24,96.49,145,2.21,99.704,96.99,False
2024-06-25,94.09,170,2.71,99.755,95.42,False
2024-06-26,92.24,161,3.66,99.829,93.51,False
2024-06-27,92.13,148,3.6,99.628,93.47,False
2024-06-28,93.11,131,3.37,99.616,94.14,False
2024-06-29,93.03,59,3.48,99.736,94.02,False
2024-06-30,94.77,55,3.17,99.917,95.16,False
2024-07-01,65.2,349,12.24,87.415,67.62,True
2024-07-02,93.95,160,2.73,99.877,95.38,False
2024-07-03,93.84,148,5.58,100.0,91.81,False
2024-07-04,94.34,153,1.78,99.64,96.63,False
2024-07-05,96.98,129,3.21,99.859,95.98,False
2024-07-06,95.99,41,2.34,100.0,96.72,False
2024-07-07,95.02,56,3.73,99.816,94.53,False
2024-07-08,94.31,132,2.91,99.785,95.27,False
2024-07-09,94.35,137,7.39,100.0,89.75,False
2024-07-10,95.49,153,4.55,99.839,93.71,False
2024-07-11,95.88,153,1.83,100.0,97.31,False
2024-07-12,93.64,181,4.94,99.986,92.53,False
2024-07-13,95.05,67,2.4,99.831,96.22,False
2024-07-14,91.95,60,2.65,99.996,94.72,False
2024-07-15,79.07,600,20.8,88.951,63.01,True
2024-07-16,96.14,149,2.76,100.0,96.26,False
2024-07-17,94.58,144,5.52,99.79,92.11,False
2024-07-18,97.72,148,2.4,99.908,97.31,False
2024-07-19,93.68,135,2.59,99.888,95.44,False
2024-07-20,95.33,49,2.54,100.0,96.2,False
2024-07-21,94.95,55,2.66,99.695,95.8,False
2024-07-22,94.85,158,6.12,100.0,91.54,False
2024-07-23,94.83,132,4.83,99.993,93.14,False
2024-07-24,95.16,140,8.3,99.637,88.81,False
2024-07-25,96.27,152,10.97,100.0,86.05,False
2024-07-26,97.07,163,2.11,100.0,97.44,False
2024-07-27,95.0,56,3.66,100.0,94.68,False
2024-07-28,96.22,55,1.96,100.0,97.29,False
2024-07-29,93.95,141,2.39,99.917,95.81,False
2024-07-30,96.15,136,2.58,99.568,96.34,False
2024-07-31,93.86,148,2.08,99.531,96.03,False
2024-08-01,96.64,168,2.09,99.951,97.28,False
2024-08-02,98.32,151,3.28,99.782,96.39,False
2024-08-03,94.82,67,1.92,99.717,96.68,False
2024-08-04,91.71,57,5.38,99.887,91.17,False
2024-08-05,94.18,159,2.23,100.0,96.13,False
2024-08-06,96.85,174,14.38,99.609,81.87,False
2024-08-07,95.83,133,2.82,99.81,95.99,False
2024-08-08,95.37,136,3.66,100.0,94.83,False
2024-08-09,96.51,153,1.85,99.685,97.44,False
2024-08-10,95.73,52,8.28,100.0,89.19,False
2024-08-11,96.83,60,6.18,99.803,92.19,False
2024-08-12,96.38,134,4.09,100.0,94.68,False
2024-08-13,97.28,133,1.8,100.0,97.91,False
2024-08-14,95.54,157,3.92,100.0,94.56,False
2024-08-15,96.36,138,2.01,100.0,97.27,False
2024-08-16,94.54,158,7.33,99.67,89.78,False
2024-08-17,94.1,50,5.29,100.0,92.28,False
2024-08-18,97.56,74,3.7,99.729,95.55,False
2024-08-19,95.32,143,1.04,99.952,98.06,False
2024-08-20,96.21,142,2.16,99.952,97.02,False
2024-08-21,95.19,155,4.98,99.997,93.1,False
2024-08-22,94.12,135,6.47,99.967,90.79,False
2024-08-23,78.1,512,13.68,90.109,71.93,True
2024-08-24,97.15,59,1.59,99.63,97.99,False
2024-08-25,79.93,144,14.77,94.796,72.94,True
2024-08-26,92.43,140,5.87,99.937,90.87,False
2024-08-27,94.68,154,1.54,100.0,97.2,False
2024-08-28,97.67,154,3.52,99.891,95.89,False
2024-08-29,94.68,145,4.05,99.619,93.93,False
2024-08-30,92.3,155,3.04,100.0,94.37,False
2024-08-31,97.84,59,1.4,99.826,98.58,False
2024-09-01,96.02,54,3.0,99.968,95.9,False
2024-09-02,78.94,443,18.61,91.52,66.6,True
2024-09-03,94.44,127,3.28,100.0,94.93,False
2024-09-04,96.62,135,2.66,99.725,96.47,False
2024-09-05,94.19,143,2.83,99.833,95.33,False
2024-09-06,96.72,171,3.46,99.921,95.59,False
2024-09-07,95.81,55,4.4,99.682,93.96,False
2024-09-08,95.37,49,3.03,99.966,95.6,False
2024-09-09,95.22,124,2.88,100.0,95.74,False
2024-09-10,94.74,123,3.7,99.802,94.45,False
2024-09-11,96.57,157,1.35,99.979,98.18,False
2024-09-12,93.7,143,4.48,99.35,92.9,False
2024-09-13,92.57,166,3.53,99.892,93.83,False
2024-09-14,95.92,41,3.6,99.837,95.06,False
2024-09-15,95.95,54,5.71,99.736,92.4,False
2024-09-16,95.72,152,1.33,100.0,97.88,False
2024-09-17,95.61,122,1.32,99.835,97.79,False
2024-09-18,94.52,151,4.05,99.865,93.95,False
2024-09-19,96.18,164,3.52,99.825,95.26,False
2024-09-20,94.93,172,3.84,99.517,94.25,False
2024-09-21,94.27,67,2.8,99.674,95.34,False
2024-09-22,94.53,67,4.92,100.0,92.91,False
2024-09-23,98.03,151,5.63,99.478,93.25,False
2024-09-24,63.68,369,10.44,89.953,70.16,True
2024-09-25,95.75,146,3.1,99.82,95.61,False
2024-09-26,92.48,141,1.23,100.0,96.7,False
2024-09-27,94.84,149,5.19,100.0,92.7,False
2024-09-28,94.35,53,6.5,99.789,90.79,False
2024-09-29,91.87,57,4.87,100.0,91.91,False
2024-09-30,95.58,146,2.27,99.752,96.55,False
